hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,270,RC,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,discounted_cash,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,min,228.8117,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.9x102mm Sag Spt Dr 20mm Wkle,both,,,,max,242.942,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,SUP-AR-2385-10,CDM,10MM TENDON STRIPPER BLADE,both,,,,gross,568.75,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,SUP-AR-2385-10,CDM,10MM TENDON STRIPPER BLADE,both,,,,discounted_cash,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,SUP-AR-2385-10,CDM,10MM TENDON STRIPPER BLADE,both,,,,min,524.95625,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,SUP-AR-2385-10,CDM,10MM TENDON STRIPPER BLADE,both,,,,max,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H27200000,LOCAL,10MM TENDON STRIPPER BLADE,both,,,,gross,568.75,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H27200000,LOCAL,10MM TENDON STRIPPER BLADE,both,,,,discounted_cash,557.375,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H27200000,LOCAL,10MM TENDON STRIPPER BLADE,both,,,,min,524.95625,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
